BAF,group,BAF,group,BAF,group
0.9776,training,0.8799,valid,0.8485,test
0.9757,training,0.8753,valid,0.8225,test
0.9672,training,0.8752,valid,0.798,test
0.9666,training,0.8573,valid,0.8152,test
0.9633,training,0.9019,valid,0.8235,test
0.9732,training,0.8757,valid,0.8491,test
0.9749,training,0.8611,valid,0.8143,test
0.9682,training,0.8668,valid,0.8349,test
0.9507,training,0.8259,valid,0.8342,test
0.9683,training,0.8774,valid,0.8272,test
