BMF,group,BMF,group,BMF,group
0.9318,training,0.941,valid,0.7433,test
0.9483,training,0.9559,valid,0.7746,test
0.9384,training,0.9592,valid,0.7529,test
0.9547,training,0.9591,valid,0.7577,test
0.947,training,0.95,valid,0.7904,test
0.9494,training,0.9569,valid,0.8191,test
0.9391,training,0.9535,valid,0.7626,test
0.951,training,0.9516,valid,0.7634,test
0.9255,training,0.9488,valid,0.7324,test
0.9114,training,0.9255,valid,0.7114,test
