BAF,group,BAF,group,BAF,group
0.9651,training,0.8289,valid,0.7749,test
0.9647,training,0.8438,valid,0.7807,test
0.9111,training,0.8348,valid,0.7119,test
0.9248,training,0.8649,valid,0.7386,test
0.9153,training,0.8277,valid,0.7304,test
0.9581,training,0.8378,valid,0.8009,test
0.9557,training,0.8196,valid,0.776,test
0.9349,training,0.8476,valid,0.7779,test
0.9597,training,0.8426,valid,0.7753,test
0.9726,training,0.8342,valid,0.7366,test
